Parent Property Name,Postal Code,Street Name,Borough,Primary Property Type - Self Selected,Year Built,Metered Areas (Energy),Water Required?
201/205,10017,3 AVENUE,Manhattan,Office,1963,Whole Building,No
NYP Columbia (West Campus),10032,FT WASHINGTON AVENUE,Manhattan,Hospital (General Medical & Surgical),1969,Whole Building,No
NYP Columbia (West Campus),10032,BROADWAY,Manhattan,Hospital (General Medical & Surgical),1924,Not Available,No
NYP Columbia (West Campus),10032,FT WASHINGTON AVENUE,Manhattan,Hospital (General Medical & Surgical),1971,Not Available,No
NYP Columbia (West Campus),10032,FT WASHINGTON AVENUE,Manhattan,Hospital (General Medical & Surgical),1932,Not Available,No
NYP Cornell (East Campus),10021,YORK AVENUE,Manhattan,Hospital (General Medical & Surgical),1932,Whole Building,No
NYP Cornell (East Campus),10021,EAST 71 STREET,Manhattan,Mixed Use Property,1932,Not Available,Yes
North Shore Towers,11005,GRAND CENTRAL PKWY,Queens,Multifamily Housing,1974,Whole Building,Yes
North Shore Towers,11005,GRAND CENTRAL PKWY,Queens,Other,1974,Whole Building,Yes
430 W 119 ET AL,10027,No street name,No borough,Other,1910,Whole Building,No
North Shore Towers,11005,GRAND CENTRAL PKWY,Queens,Multifamily Housing,1974,Whole Building,Yes
North Shore Towers,11005,GRAND CENTRAL PKWY,Queens,Multifamily Housing,1974,Whole Building,Yes
North Shore Towers,11005,GRAND CENTRAL PKWY,Queens,Multifamily Housing,1974,Whole Building,don't know
Cadman Towers,11201,No street name,No borough,Multifamily Housing,1903,Whole Building,Yes
Cadman Towers,11201,CLINTON STREET,Brooklyn,Multifamily Housing,1903,Whole Building,don't know
STATEN ISLAND UNIVERSITY HOSPITAL Seaview,10305,No street name,No borough,Hospital (General Medical & Surgical),1950,Whole Building,No
STATEN ISLAND UNIVERSITY HOSPITAL Seaview,10305,SEAVIEW AVENUE,Staten Island,Hospital (General Medical & Surgical),1950,Not Available,Yes
STATEN ISLAND UNIVERSITY HOSPITAL Seaview,10305,MASON AVENUE,Staten Island,Medical Office,1950,Not Available,don't know
Barnard College,10029,No street name,No borough,College/University,1907,Whole Building,Yes
720-730 Ft. Washington Owners Corp.,10040,No street name,No borough,Multifamily Housing,1939,Whole Building,Yes
720-730 Ft. Washington Owners Corp.,10040,FT WASHINGTON AVENUE,Manhattan,Multifamily Housing,1939,Whole Building,don't know
720-730 Ft. Washington Owners Corp.,10040,FT WASHINGTON AVENUE,Manhattan,Multifamily Housing,1939,Whole Building,Yes
Park 76th Street Inc.,10021,No street name,No borough,Multifamily Housing,1911,Whole Building,Yes
Park 76th Street Inc.,10021,PARK AVENUE,Manhattan,Multifamily Housing,1911,Another configuration,don't know
Park 76th Street Inc.,10021,PARK AVENUE,Manhattan,Multifamily Housing,1911,Another configuration,Yes
560 Riverside Drive,10027,No street name,No borough,Residence Hall/Dormitory,1964,Whole Building,No
560 Riverside Drive,10027,RIVERSIDE DRIVE,Manhattan,College/University,1964,Whole Building,Yes
560 Riverside Drive,10027,RIVERSIDE DRIVE,Manhattan,College/University,1964,Whole Building,No
Meyer Hall,10003,WASHINGTON PLACE,Manhattan,College/University,1971,Whole Building,don't know
Meyer Hall,10003,BROADWAY,Manhattan,College/University,1971,Not Available,don't know
MCKINLEY,10456,EAST 161 STREET,Bronx,Multifamily Housing,1962,Whole Building,don't know
Metro North - 420-440 East 102 St.,10029,EAST 102 STREET,Manhattan,Multifamily Housing,1973,Whole Building,don't know
Benjamin: 86-02 208 St (Parent),11427,86 ROAD,Queens,Multifamily Housing,1952,Whole Building,don't know
Benjamin: 206-10 86 Rd (Parent),11427,FRANCIS LEWIS BLVD,Queens,Multifamily Housing,1952,Whole Building,Yes
Benjamin: 209-30 86 Drive (Parent),11427,GRND CNTRL PKWY SR E,Queens,Multifamily Housing,1952,Whole Building,No
Benjamin: 209-31 86 Drive (Parent),11427,GRAND CENTRL PARKWAY,Queens,Multifamily Housing,1952,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,College/University,1897,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Office,1996,Whole Building,don't know
Columbia University (morningside),10027,No street name,No borough,Office,1906,Whole Building,don't know
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1950,Whole Building,don't know
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1898,Whole Building,don't know
Columbia University (morningside),10027,WEST 114 STREET,Manhattan,Multifamily Housing,1908,Whole Building,don't know
Columbia University (morningside),10027,WEST 114 STREET,Manhattan,Residence Hall/Dormitory,1908,Whole Building,don't know
Columbia University (morningside),10027,BROADWAY,Manhattan,Residence Hall/Dormitory,1898,Whole Building,don't know
Columbia University (morningside),10027,BROADWAY,Manhattan,Residence Hall/Dormitory,1924,Whole Building,don't know
Columbia University (morningside),10027,No street name,No borough,Office,1999,Whole Building,don't know
Columbia University (morningside),10027,No street name,No borough,Office,1934,Whole Building,don't know
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1908,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1924,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1907,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1924,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Office,1925,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Office,1925,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Office,1924,Whole Building,No
Columbia University (morningside),10027,No street name,No borough,Residence Hall/Dormitory,1935,Whole Building,No
Columbia University (morningside),10027,AMSTERDAM AVENUE,Manhattan,Residence Hall/Dormitory,1925,Whole Building,No
